id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights_act,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape,assault_on_women,insult_to_the_modesty_of_women,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes,sc_st_prevention_of_atrocities
394,2016,Madhya Pradesh,23,Shivpuri,432,Shivpuri,0,0,1,8,0,9,0,0,0,0,0,0,1,43,0
395,2016,Madhya Pradesh,23,Sidhi,433,Sidhi,0,1,0,4,0,8,0,3,0,0,0,0,0,33,0
396,2016,Madhya Pradesh,23,Sehore,427,Sehore,0,0,0,5,0,5,1,0,0,0,0,1,0,10,0
397,2016,Madhya Pradesh,23,Singrauli,638,Singrauli,0,2,0,14,0,7,0,7,0,1,0,0,1,14,0
398,2016,Madhya Pradesh,23,Tikamgarh,434,Tikamgarh,0,1,0,2,0,6,0,1,0,0,0,0,0,8,0
399,2016,Madhya Pradesh,23,Ujjain,435,Ujjain,0,0,0,3,0,5,0,1,0,0,0,0,0,3,0
400,2016,Madhya Pradesh,23,Umaria,436,Umaria,0,0,0,7,0,3,0,0,0,0,0,0,0,10,0
401,2016,Madhya Pradesh,23,Vidisha,437,Vidisha,0,0,1,3,0,9,0,0,0,0,0,2,0,25,0
402,2016,Madhya Pradesh,23,Bhopal,396,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,2016,Maharashtra,27,Ahmednagar,466,Ahmednagar,0,2,2,5,0,6,0,2,0,0,0,1,6,2,0
404,2016,Maharashtra,27,Akola,467,Akola,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0
405,2016,Maharashtra,27,Amravati,468,Amravati Commr.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
406,2016,Maharashtra,27,Amravati,468,Amravati Rural,0,0,1,6,0,9,0,0,0,1,0,1,1,2,4
407,2016,Maharashtra,27,Aurangabad,469,Aurangabad Commr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,2016,Maharashtra,27,Aurangabad,469,Aurangabad Rural,0,0,0,2,0,6,0,2,0,0,0,1,3,0,0
409,2016,Maharashtra,27,Beed,470,Beed,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
410,2016,Maharashtra,27,Bhandara,471,Bhandara,0,1,1,3,0,5,0,0,0,0,0,0,0,0,0
411,2016,Maharashtra,27,Buldhana,472,Buldhana,0,0,0,2,0,3,0,0,0,0,0,0,2,0,1
412,2016,Maharashtra,27,Chandrapur,473,Chandrapur,0,0,0,8,0,4,0,0,0,0,0,1,1,2,0
